"","bowler_name","Role","Amount","Team","Year","Player Origin","bowler_type","bowler_category","matches","balls_bowled","overs_bowled","runs_conceded","wickets","economy","bowling_sr"
"129","Ben Cutting","All-Rounder",5e+06,"Sunrisers Hyderabad",2016,"Overseas","RFM","Pacer",38,700,"116.4",994,31,"8.52","22.58"
"130","Ben Cutting","All-Rounder",2.2e+07,"Mumbai Indians",2018,"Overseas","RFM","Pacer",38,700,"116.4",994,31,"8.52","22.58"
"131","Ben Cutting","All-Rounder",7500000,"Kolkata Knight Riders",2021,"Overseas","RFM","Pacer",38,700,"116.4",994,31,"8.52","22.58"
"132","Ben Dunk","Wicket Keeper",2e+06,"Mumbai Indians",2014,"Overseas",NA,NA,2,12,"2.0",21,0,"10.50",NA
"133","Ben Dwarshuis","Bowler",1.4e+07,"Kings XI Punjab",2018,"Overseas","LFM","Pacer",11,231,"38.3",336,15,"8.73","15.40"
"134","Ben Hilfenhaus","Bowler",1e+07,"Chennai Super Kings",2014,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Ben Laughlin","Bowler",1500000,"Chennai Super Kings",2013,"Overseas","RFM","Pacer",32,663,"110.3",932,43,"8.43","15.42"
"136","Ben Laughlin","Bowler",3e+06,"Sunrisers Hyderabad",2017,"Overseas","RFM","Pacer",32,663,"110.3",932,43,"8.43","15.42"
"137","Ben Laughlin","Bowler",5e+06,"Rajasthan Royals",2018,"Overseas","RFM","Pacer",32,663,"110.3",932,43,"8.43","15.42"
"138","Benjamin Stokes","All-Rounder",1.45e+08,"Rising Pune Supergiant",2017,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Benjamin Stokes","All-Rounder",1.25e+08,"Rajasthan Royals",2018,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Benny Howell","All-Rounder",4e+06,"Punjab Kings",2022,"Overseas","RFM","Pacer",39,870,"145.0",1023,56,"7.06","15.54"
"141","Beuran Hendricks","Bowler",1.8e+07,"Kings XI Punjab",2014,"Overseas","LFM","Pacer",12,250,"41.4",384,14,"9.22","17.86"
